2022-09-25 12:00:29.473 [ConsumeMessageThread_topic_transaction_ins_group_posting_12] ERROR [,] c.s.f.t.integration.urule.impl.URuleClientImpl - Invoke rule engine fail.
2022-11-26 00:20:28.494 [SOFA-SEV-BOLT-BIZ-12200-7-T9] ERROR [0a5254e1166944002848151521,0] c.s.f.c.charge.biz.statemachine.aop.StateAspect - state handle exception, context:{"accountId":"13130011000016917228","accountingDate":"20221125","activationDate":1664085600000,"cardId":"131300100001727622","cardRealId":"131300200001727722","chargeDetailType":"MANAGEMENT_FEE","chargeType":"FEE","currencyCode":"COP","currentState":"CHARGE_APPLY_GEN_STATE","customerId":"1313001000008722","direction":"POSITIVE","entityId":"COCC20230000","finish":false,"itemCode":"STCCOL001ITEM01","processTime":0,"productCode":"STCCOL001","referenceId":"20221125-131300200001727722","source":"CREDIT_CARD_CS","subheadCode":"STCCOL001ITEM01SUB01","tenantId":"STCOFINCORE0"}, messagerpc invoke error, exception:com.stori.fundcore.exception.BaseRuntimeException: rpc invoke error
2022-11-26 00:20:28.607 [SOFA-SEV-BOLT-BIZ-12200-7-T9] ERROR [0a5254e1166944002859451581,0] c.s.f.c.c.b.i.c.i.CustomerInfoFacadeChargeClientImpl - Search account info fail, request: SearchAccountRelationshipsRequest(accountId=13130011000016841840, retrieveCard=null)
2022-11-26 00:20:28.608 [SOFA-SEV-BOLT-BIZ-12200-7-T9] ERROR [0a5254e1166944002859451581,0] c.s.f.c.charge.biz.statemachine.aop.StateAspect - state handle exception, context:{"accountId":"13130011000016841840","accountingDate":"20221125","activationDate":1664085600000,"cardId":"131300100001720084","cardRealId":"131300200001720184","chargeDetailType":"MANAGEMENT_FEE","chargeType":"FEE","currencyCode":"COP","currentState":"CHARGE_APPLY_GEN_STATE","customerId":"1313001000008684","direction":"POSITIVE","entityId":"COCC20230000","finish":false,"itemCode":"STCCOL001ITEM01","processTime":0,"productCode":"STCCOL001","referenceId":"20221125-131300200001720184","source":"CREDIT_CARD_CS","subheadCode":"STCCOL001ITEM01SUB01","tenantId":"STCOFINCORE0"}, messagerpc invoke error, exception:com.stori.fundcore.exception.BaseRuntimeException: rpc invoke error
2022-11-26 00:20:28.713 [SOFA-SEV-BOLT-BIZ-12200-7-T115] ERROR [0a5254e1166944002870051681,0] c.s.f.c.c.b.i.c.i.CustomerInfoFacadeChargeClientImpl - Search account info fail, request: SearchAccountRelationshipsRequest(accountId=13130011000016757426, retrieveCard=null)
2022-11-26 00:20:28.714 [SOFA-SEV-BOLT-BIZ-12200-7-T115] ERROR [0a5254e1166944002870051681,0] c.s.f.c.charge.biz.statemachine.aop.StateAspect - state handle exception, context:{"accountId":"13130011000016757426","accountingDate":"20221125","activationDate":1664085600000,"cardId":"131300100001711742","cardRealId":"131300200001711842","chargeDetailType":"MANAGEMENT_FEE","chargeType":"FEE","currencyCode":"COP","currentState":"CHARGE_APPLY_GEN_STATE","customerId":"1313001000008642","direction":"POSITIVE","entityId":"COCC20230000","finish":false,"itemCode":"STCCOL001ITEM01","processTime":0,"productCode":"STCCOL001","referenceId":"20221125-131300200001711842","source":"CREDIT_CARD_CS","subheadCode":"STCCOL001ITEM01SUB01","tenantId":"STCOFINCORE0"}, messagerpc invoke error, exception:com.stori.fundcore.exception.BaseRuntimeException: rpc invoke error
2022-11-26 00:20:28.847 [SOFA-SEV-BOLT-BIZ-12200-7-T115] ERROR [0a5254e1166944002883351811,0] c.s.f.c.c.b.i.c.i.CustomerInfoFacadeChargeClientImpl - Search account info fail, request: SearchAccountRelationshipsRequest(accountId=13130011000016755412, retrieveCard=null)
2022-11-26 00:20:28.848 [SOFA-SEV-BOLT-BIZ-12200-7-T115] ERROR [0a5254e1166944002883351811,0] c.s.f.c.charge.biz.statemachine.aop.StateAspect - state handle exception, context:{"accountId":"13130011000016755412","accountingDate":"20221125","activationDate":1664085600000,"cardId":"131300100001711541","cardRealId":"131300200001711641","chargeDetailType":"MANAGEMENT_FEE","chargeType":"FEE","currencyCode":"COP","currentState":"CHARGE_APPLY_GEN_STATE","customerId":"1313001000008641","direction":"POSITIVE","entityId":"COCC20230000","finish":false,"itemCode":"STCCOL001ITEM01","processTime":0,"productCode":"STCCOL001","referenceId":"20221125-131300200001711641","source":"CREDIT_CARD_CS","subheadCode":"STCCOL001ITEM01SUB01","tenantId":"STCOFINCORE0"}, messagerpc invoke error, exception:com.stori.fundcore.exception.BaseRuntimeException: rpc invoke error
2022-11-26 00:20:28.859 [SOFA-SEV-BOLT-BIZ-12200-7-T9] ERROR [0a5254e1166944002884651861,0] c.s.f.c.c.b.i.c.i.CustomerInfoFacadeChargeClientImpl - Search account info fail, request: SearchAccountRelationshipsRequest(accountId=13130011000016835818, retrieveCard=null)
2022-11-26 00:20:28.860 [SOFA-SEV-BOLT-BIZ-12200-7-T9] ERROR [0a5254e1166944002884651861,0] c.s.f.c.charge.biz.statemachine.aop.StateAspect - state handle exception, context:{"accountId":"13130011000016835818","accountingDate":"20221125","activationDate":1664085600000,"cardId":"131300100001719481","cardRealId":"131300200001719581","chargeDetailType":"MANAGEMENT_FEE","chargeType":"FEE","currencyCode":"COP","currentState":"CHARGE_APPLY_GEN_STATE","customerId":"1313001000008681","direction":"POSITIVE","entityId":"COCC20230000","finish":false,"itemCode":"STCCOL001ITEM01","processTime":0,"productCode":"STCCOL001","referenceId":"20221125-131300200001719581","source":"CREDIT_CARD_CS","subheadCode":"STCCOL001ITEM01SUB01","tenantId":"STCOFINCORE0"}, messagerpc invoke error, exception:com.stori.fundcore.exception.BaseRuntimeException: rpc invoke error
2022-11-26 00:20:28.875 [SOFA-SEV-BOLT-BIZ-12200-7-T9] ERROR [0a5254e1166944002886251911,0] c.s.f.c.c.b.i.c.i.CustomerInfoFacadeChargeClientImpl - Search account info fail, request: SearchAccountRelationshipsRequest(accountId=13130011000017009686, retrieveCard=null)
2022-11-26 00:20:28.876 [SOFA-SEV-BOLT-BIZ-12200-7-T9] ERROR [0a5254e1166944002886251911,0] c.s.f.c.charge.biz.statemachine.aop.StateAspect - state handle exception, context:{"accountId":"13130011000017009686","accountingDate":"20221125","activationDate":1664085600000,"cardId":"131300100001736968","cardRealId":"131300200001737068","chargeDetailType":"MANAGEMENT_FEE","chargeType":"FEE","currencyCode":"COP","currentState":"CHARGE_APPLY_GEN_STATE","customerId":"1313001000008768","direction":"POSITIVE","entityId":"COCC20230000","finish":false,"itemCode":"STCCOL001ITEM01","processTime":0,"productCode":"STCCOL001","referenceId":"20221125-131300200001737068","source":"CREDIT_CARD_CS","subheadCode":"STCCOL001ITEM01SUB01","tenantId":"STCOFINCORE0"}, messagerpc invoke error, exception:com.stori.fundcore.exception.BaseRuntimeException: rpc invoke error
2022-11-26 00:20:29.140 [SOFA-SEV-BOLT-BIZ-12200-7-T66] ERROR [0a5254e1166944002912852201,0] c.s.f.c.c.b.i.c.i.CustomerInfoFacadeChargeClientImpl - Search account info fail, request: SearchAccountRelationshipsRequest(accountId=13130011000016661941, retrieveCard=null)
2022-11-26 00:20:29.141 [SOFA-SEV-BOLT-BIZ-12200-7-T66] ERROR [0a5254e1166944002912852201,0] c.s.f.c.charge.biz.statemachine.aop.StateAspect - state handle exception, context:{"accountId":"13130011000016661941","accountingDate":"20221125","activationDate":1664085600000,"cardId":"131300100001702094","cardRealId":"131300200001702194","chargeDetailType":"MANAGEMENT_FEE","chargeType":"FEE","currencyCode":"COP","currentState":"CHARGE_APPLY_GEN_STATE","customerId":"1313001000008594","direction":"POSITIVE","entityId":"COCC20230000","finish":false,"itemCode":"STCCOL001ITEM01","processTime":0,"productCode":"STCCOL001","referenceId":"20221125-131300200001702194","source":"CREDIT_CARD_CS","subheadCode":"STCCOL001ITEM01SUB01","tenantId":"STCOFINCORE0"}, messagerpc invoke error, exception:com.stori.fundcore.exception.BaseRuntimeException: rpc invoke error
2022-11-26 00:20:29.236 [SOFA-SEV-BOLT-BIZ-12200-7-T9] ERROR [0a52563b166944002912212951,0] c.s.f.c.c.b.i.c.i.CustomerInfoFacadeChargeClientImpl - Search account info fail, request: SearchAccountRelationshipsRequest(accountId=13130011000016579531, retrieveCard=null)
2022-11-26 00:20:29.237 [SOFA-SEV-BOLT-BIZ-12200-7-T9] ERROR [0a52563b166944002912212951,0] c.s.f.c.charge.biz.statemachine.aop.StateAspect - state handle exception, context:{"accountId":"13130011000016579531","accountingDate":"20221125","activationDate":1664085600000,"cardId":"131300100001693853","cardRealId":"131300200001693953","chargeDetailType":"MANAGEMENT_FEE","chargeType":"FEE","currencyCode":"COP","currentState":"CHARGE_APPLY_GEN_STATE","customerId":"1313001000008553","direction":"POSITIVE","entityId":"COCC20230000","finish":false,"itemCode":"STCCOL001ITEM01","processTime":0,"productCode":"STCCOL001","referenceId":"20221125-131300200001693953","source":"CREDIT_CARD_CS","subheadCode":"STCCOL001ITEM01SUB01","tenantId":"STCOFINCORE0"}, messagerpc invoke error, exception:com.stori.fundcore.exception.BaseRuntimeException: rpc invoke error
2022-11-26 00:20:29.267 [SOFA-SEV-BOLT-BIZ-12200-7-T115] ERROR [0a52563b166944002912212961,0] c.s.f.c.c.b.i.c.i.CustomerInfoFacadeChargeClientImpl - Search account info fail, request: SearchAccountRelationshipsRequest(accountId=13130011000016495118, retrieveCard=null)
2022-11-26 00:20:29.268 [SOFA-SEV-BOLT-BIZ-12200-7-T115] ERROR [0a52563b166944002912212961,0] c.s.f.c.charge.biz.statemachine.aop.StateAspect - state handle exception, context:{"accountId":"13130011000016495118","accountingDate":"20221125","activationDate":1664085600000,"cardId":"131300100001685311","cardRealId":"131300200001685411","chargeDetailType":"MANAGEMENT_FEE","chargeType":"FEE","currencyCode":"COP","currentState":"CHARGE_APPLY_GEN_STATE","customerId":"1313001000008511","direction":"POSITIVE","entityId":"COCC20230000","finish":false,"itemCode":"STCCOL001ITEM01","processTime":0,"productCode":"STCCOL001","referenceId":"20221125-131300200001685411","source":"CREDIT_CARD_CS","subheadCode":"STCCOL001ITEM01SUB01","tenantId":"STCOFINCORE0"}, messagerpc invoke error, exception:com.stori.fundcore.exception.BaseRuntimeException: rpc invoke error
2022-11-26 00:20:29.442 [SOFA-SEV-BOLT-BIZ-12200-7-T115] ERROR [0a52563b166944002942813361,0] c.s.f.c.c.b.i.c.i.CustomerInfoFacadeChargeClientImpl - Search account info fail, request: SearchAccountRelationshipsRequest(accountId=13130011000016575513, retrieveCard=null)
2022-11-26 00:20:29.442 [SOFA-SEV-BOLT-BIZ-12200-7-T115] ERROR [0a52563b166944002942813361,0] c.s.f.c.charge.biz.statemachine.aop.StateAspect - state handle exception, context:{"accountId":"13130011000016575513","accountingDate":"20221125","activationDate":1664085600000,"cardId":"131300100001693451","cardRealId":"131300200001693551","chargeDetailType":"MANAGEMENT_FEE","chargeType":"FEE","currencyCode":"COP","currentState":"CHARGE_APPLY_GEN_STATE","customerId":"1313001000008551","direction":"POSITIVE","entityId":"COCC20230000","finish":false,"itemCode":"STCCOL001ITEM01","processTime":0,"productCode":"STCCOL001","referenceId":"20221125-131300200001693551","source":"CREDIT_CARD_CS","subheadCode":"STCCOL001ITEM01SUB01","tenantId":"STCOFINCORE0"}, messagerpc invoke error, exception:com.stori.fundcore.exception.BaseRuntimeException: rpc invoke error
2022-11-26 00:20:29.523 [SOFA-SEV-BOLT-BIZ-12200-7-T7] ERROR [0a52563b166944002951113541,0] c.s.f.c.c.b.i.c.i.CustomerInfoFacadeChargeClientImpl - Search account info fail, request: SearchAccountRelationshipsRequest(accountId=13130011000016573500, retrieveCard=null)
2022-11-26 00:20:29.524 [SOFA-SEV-BOLT-BIZ-12200-7-T7] ERROR [0a52563b166944002951113541,0] c.s.f.c.charge.biz.statemachine.aop.StateAspect - state handle exception, context:{"accountId":"13130011000016573500","accountingDate":"20221125","activationDate":1664085600000,"cardId":"131300100001693250","cardRealId":"131300200001693350","chargeDetailType":"MANAGEMENT_FEE","chargeType":"FEE","currencyCode":"COP","currentState":"CHARGE_APPLY_GEN_STATE","customerId":"1313001000008550","direction":"POSITIVE","entityId":"COCC20230000","finish":false,"itemCode":"STCCOL001ITEM01","processTime":0,"productCode":"STCCOL001","referenceId":"20221125-131300200001693350","source":"CREDIT_CARD_CS","subheadCode":"STCCOL001ITEM01SUB01","tenantId":"STCOFINCORE0"}, messagerpc invoke error, exception:com.stori.fundcore.exception.BaseRuntimeException: rpc invoke error
2022-11-26 00:20:29.564 [SOFA-SEV-BOLT-BIZ-12200-7-T115] ERROR [0a52563b166944002950813511,0] c.s.f.c.c.b.i.c.i.CustomerInfoFacadeChargeClientImpl - Search account info fail, request: SearchAccountRelationshipsRequest(accountId=13130011000016407675, retrieveCard=null)
2022-11-26 00:20:29.564 [SOFA-SEV-BOLT-BIZ-12200-7-T115] ERROR [0a52563b166944002950813511,0] c.s.f.c.charge.biz.statemachine.aop.StateAspect - state handle exception, context:{"accountId":"13130011000016407675","accountingDate":"20221125","activationDate":1664085600000,"cardId":"131300100001676567","cardRealId":"131300200001676667","chargeDetailType":"MANAGEMENT_FEE","chargeType":"FEE","currencyCode":"COP","currentState":"CHARGE_APPLY_GEN_STATE","customerId":"1313001000008467","direction":"POSITIVE","entityId":"COCC20230000","finish":false,"itemCode":"STCCOL001ITEM01","processTime":0,"productCode":"STCCOL001","referenceId":"20221125-131300200001676667","source":"CREDIT_CARD_CS","subheadCode":"STCCOL001ITEM01SUB01","tenantId":"STCOFINCORE0"}, messagerpc invoke error, exception:com.stori.fundcore.exception.BaseRuntimeException: rpc invoke error
2022-11-26 00:20:29.570 [SOFA-SEV-BOLT-BIZ-12200-7-T66] ERROR [0a52563b166944002950913521,0] c.s.f.c.c.b.i.c.i.CustomerInfoFacadeChargeClientImpl - Search account info fail, request: SearchAccountRelationshipsRequest(accountId=13130011000016489087, retrieveCard=null)
2022-11-26 00:20:29.571 [SOFA-SEV-BOLT-BIZ-12200-7-T66] ERROR [0a52563b166944002950913521,0] c.s.f.c.charge.biz.statemachine.aop.StateAspect - state handle exception, context:{"accountId":"13130011000016489087","accountingDate":"20221125","activationDate":1664085600000,"cardId":"131300100001684708","cardRealId":"131300200001684808","chargeDetailType":"MANAGEMENT_FEE","chargeType":"FEE","currencyCode":"COP","currentState":"CHARGE_APPLY_GEN_STATE","customerId":"1313001000008508","direction":"POSITIVE","entityId":"COCC20230000","finish":false,"itemCode":"STCCOL001ITEM01","processTime":0,"productCode":"STCCOL001","referenceId":"20221125-131300200001684808","source":"CREDIT_CARD_CS","subheadCode":"STCCOL001ITEM01SUB01","tenantId":"STCOFINCORE0"}, messagerpc invoke error, exception:com.stori.fundcore.exception.BaseRuntimeException: rpc invoke error
2022-11-26 00:20:29.578 [SOFA-SEV-BOLT-BIZ-12200-7-T9] ERROR [0a52563b166944002951113531,0] c.s.f.c.c.b.i.c.i.CustomerInfoFacadeChargeClientImpl - Search account info fail, request: SearchAccountRelationshipsRequest(accountId=13130011000016653906, retrieveCard=null)
2022-11-26 00:20:29.578 [SOFA-SEV-BOLT-BIZ-12200-7-T9] ERROR [0a52563b166944002951113531,0] c.s.f.c.charge.biz.statemachine.aop.StateAspect - state handle exception, context:{"accountId":"13130011000016653906","accountingDate":"20221125","activationDate":1664085600000,"cardId":"131300100001701290","cardRealId":"131300200001701390","chargeDetailType":"MANAGEMENT_FEE","chargeType":"FEE","currencyCode":"COP","currentState":"CHARGE_APPLY_GEN_STATE","customerId":"1313001000008590","direction":"POSITIVE","entityId":"COCC20230000","finish":false,"itemCode":"STCCOL001ITEM01","processTime":0,"productCode":"STCCOL001","referenceId":"20221125-131300200001701390","source":"CREDIT_CARD_CS","subheadCode":"STCCOL001ITEM01SUB01","tenantId":"STCOFINCORE0"}, messagerpc invoke error, exception:com.stori.fundcore.exception.BaseRuntimeException: rpc invoke error
2022-11-26 00:20:29.584 [SOFA-SEV-BOLT-BIZ-12200-7-T115] ERROR [0a52563b166944002957113601,0] c.s.f.c.c.b.i.c.i.CustomerInfoFacadeChargeClientImpl - Search account info fail, request: SearchAccountRelationshipsRequest(accountId=13130011000016571496, retrieveCard=null)
2022-11-26 00:20:29.585 [SOFA-SEV-BOLT-BIZ-12200-7-T115] ERROR [0a52563b166944002957113601,0] c.s.f.c.charge.biz.statemachine.aop.StateAspect - state handle exception, context:{"accountId":"13130011000016571496","accountingDate":"20221125","activationDate":1664085600000,"cardId":"131300100001693049","cardRealId":"131300200001693149","chargeDetailType":"MANAGEMENT_FEE","chargeType":"FEE","currencyCode":"COP","currentState":"CHARGE_APPLY_GEN_STATE","customerId":"1313001000008549","direction":"POSITIVE","entityId":"COCC20230000","finish":false,"itemCode":"STCCOL001ITEM01","processTime":0,"productCode":"STCCOL001","referenceId":"20221125-131300200001693149","source":"CREDIT_CARD_CS","subheadCode":"STCCOL001ITEM01SUB01","tenantId":"STCOFINCORE0"}, messagerpc invoke error, exception:com.stori.fundcore.exception.BaseRuntimeException: rpc invoke error
2022-11-26 00:20:29.589 [SOFA-SEV-BOLT-BIZ-12200-7-T7] ERROR [0a52563b166944002957713631,0] c.s.f.c.c.b.i.c.i.CustomerInfoFacadeChargeClientImpl - Search account info fail, request: SearchAccountRelationshipsRequest(accountId=13130011000016405661, retrieveCard=null)
2022-11-26 00:20:29.590 [SOFA-SEV-BOLT-BIZ-12200-7-T7] ERROR [0a52563b166944002957713631,0] c.s.f.c.charge.biz.statemachine.aop.StateAspect - state handle exception, context:{"accountId":"13130011000016405661","accountingDate":"20221125","activationDate":1664085600000,"cardId":"131300100001676366","cardRealId":"131300200001676466","chargeDetailType":"MANAGEMENT_FEE","chargeType":"FEE","currencyCode":"COP","currentState":"CHARGE_APPLY_GEN_STATE","customerId":"1313001000008466","direction":"POSITIVE","entityId":"COCC20230000","finish":false,"itemCode":"STCCOL001ITEM01","processTime":0,"productCode":"STCCOL001","referenceId":"20221125-131300200001676466","source":"CREDIT_CARD_CS","subheadCode":"STCCOL001ITEM01SUB01","tenantId":"STCOFINCORE0"}, messagerpc invoke error, exception:com.stori.fundcore.exception.BaseRuntimeException: rpc invoke error
2022-11-26 00:20:29.593 [SOFA-SEV-BOLT-BIZ-12200-7-T66] ERROR [0a52563b166944002958013651,0] c.s.f.c.c.b.i.c.i.CustomerInfoFacadeChargeClientImpl - Search account info fail, request: SearchAccountRelationshipsRequest(accountId=13130011000016317221, retrieveCard=null)
2022-11-26 00:20:29.594 [SOFA-SEV-BOLT-BIZ-12200-7-T66] ERROR [0a52563b166944002958013651,0] c.s.f.c.charge.biz.statemachine.aop.StateAspect - state handle exception, context:{"accountId":"13130011000016317221","accountingDate":"20221125","activationDate":1664085600000,"cardId":"131300100001667422","cardRealId":"131300200001667522","chargeDetailType":"MANAGEMENT_FEE","chargeType":"FEE","currencyCode":"COP","currentState":"CHARGE_APPLY_GEN_STATE","customerId":"1313001000008422","direction":"POSITIVE","entityId":"COCC20230000","finish":false,"itemCode":"STCCOL001ITEM01","processTime":0,"productCode":"STCCOL001","referenceId":"20221125-131300200001667522","source":"CREDIT_CARD_CS","subheadCode":"STCCOL001ITEM01SUB01","tenantId":"STCOFINCORE0"}, messagerpc invoke error, exception:com.stori.fundcore.exception.BaseRuntimeException: rpc invoke error
2022-11-26 00:20:29.730 [SOFA-SEV-BOLT-BIZ-12200-7-T115] ERROR [0a52563b166944002971713921,0] c.s.f.c.c.b.i.c.i.CustomerInfoFacadeChargeClientImpl - Search account info fail, request: SearchAccountRelationshipsRequest(accountId=13130011000016485069, retrieveCard=null)
2022-11-26 00:20:29.731 [SOFA-SEV-BOLT-BIZ-12200-7-T115] ERROR [0a52563b166944002971713921,0] c.s.f.c.charge.biz.statemachine.aop.StateAspect - state handle exception, context:{"accountId":"13130011000016485069","accountingDate":"20221125","activationDate":1664085600000,"cardId":"131300100001684306","cardRealId":"131300200001684406","chargeDetailType":"MANAGEMENT_FEE","chargeType":"FEE","currencyCode":"COP","currentState":"CHARGE_APPLY_GEN_STATE","customerId":"1313001000008506","direction":"POSITIVE","entityId":"COCC20230000","finish":false,"itemCode":"STCCOL001ITEM01","processTime":0,"productCode":"STCCOL001","referenceId":"20221125-131300200001684406","source":"CREDIT_CARD_CS","subheadCode":"STCCOL001ITEM01SUB01","tenantId":"STCOFINCORE0"}, messagerpc invoke error, exception:com.stori.fundcore.exception.BaseRuntimeException: rpc invoke error
2022-11-26 00:20:29.832 [SOFA-SEV-BOLT-BIZ-12200-7-T7] ERROR [0a52563b166944002968013811,0] c.s.f.c.c.b.i.c.i.CustomerInfoFacadeChargeClientImpl - Search account info fail, request: SearchAccountRelationshipsRequest(accountId=13130011000016403658, retrieveCard=null)
2022-11-26 00:20:29.833 [SOFA-SEV-BOLT-BIZ-12200-7-T7] ERROR [0a52563b166944002968013811,0] c.s.f.c.charge.biz.statemachine.aop.StateAspect - state handle exception, context:{"accountId":"13130011000016403658","accountingDate":"20221125","activationDate":1664085600000,"cardId":"131300100001676165","cardRealId":"131300200001676265","chargeDetailType":"MANAGEMENT_FEE","chargeType":"FEE","currencyCode":"COP","currentState":"CHARGE_APPLY_GEN_STATE","customerId":"1313001000008465","direction":"POSITIVE","entityId":"COCC20230000","finish":false,"itemCode":"STCCOL001ITEM01","processTime":0,"productCode":"STCCOL001","referenceId":"20221125-131300200001676265","source":"CREDIT_CARD_CS","subheadCode":"STCCOL001ITEM01SUB01","tenantId":"STCOFINCORE0"}, messagerpc invoke error, exception:com.stori.fundcore.exception.BaseRuntimeException: rpc invoke error
2022-11-26 00:20:29.841 [SOFA-SEV-BOLT-BIZ-12200-7-T66] ERROR [0a52563b166944002967913801,0] c.s.f.c.c.b.i.c.i.CustomerInfoFacadeChargeClientImpl - Search account info fail, request: SearchAccountRelationshipsRequest(accountId=13130011000016315217, retrieveCard=null)
2022-11-26 00:20:29.842 [SOFA-SEV-BOLT-BIZ-12200-7-T66] ERROR [0a52563b166944002967913801,0] c.s.f.c.charge.biz.statemachine.aop.StateAspect - state handle exception, context:{"accountId":"13130011000016315217","accountingDate":"20221125","activationDate":1664085600000,"cardId":"131300100001667221","cardRealId":"131300200001667321","chargeDetailType":"MANAGEMENT_FEE","chargeType":"FEE","currencyCode":"COP","currentState":"CHARGE_APPLY_GEN_STATE","customerId":"1313001000008421","direction":"POSITIVE","entityId":"COCC20230000","finish":false,"itemCode":"STCCOL001ITEM01","processTime":0,"productCode":"STCCOL001","referenceId":"20221125-131300200001667321","source":"CREDIT_CARD_CS","subheadCode":"STCCOL001ITEM01SUB01","tenantId":"STCOFINCORE0"}, messagerpc invoke error, exception:com.stori.fundcore.exception.BaseRuntimeException: rpc invoke error
2022-11-26 00:20:29.887 [SOFA-SEV-BOLT-BIZ-12200-7-T7] ERROR [0a52563b166944002987514051,0] c.s.f.c.c.b.i.c.i.CustomerInfoFacadeChargeClientImpl - Search account info fail, request: SearchAccountRelationshipsRequest(accountId=13130011000016563451, retrieveCard=null)
2022-11-26 00:20:29.888 [SOFA-SEV-BOLT-BIZ-12200-7-T7] ERROR [0a52563b166944002987514051,0] c.s.f.c.charge.biz.statemachine.aop.StateAspect - state handle exception, context:{"accountId":"13130011000016563451","accountingDate":"20221125","activationDate":1664085600000,"cardId":"131300100001692245","cardRealId":"131300200001692345","chargeDetailType":"MANAGEMENT_FEE","chargeType":"FEE","currencyCode":"COP","currentState":"CHARGE_APPLY_GEN_STATE","customerId":"1313001000008545","direction":"POSITIVE","entityId":"COCC20230000","finish":false,"itemCode":"STCCOL001ITEM01","processTime":0,"productCode":"STCCOL001","referenceId":"20221125-131300200001692345","source":"CREDIT_CARD_CS","subheadCode":"STCCOL001ITEM01SUB01","tenantId":"STCOFINCORE0"}, messagerpc invoke error, exception:com.stori.fundcore.exception.BaseRuntimeException: rpc invoke error
2022-11-26 00:20:29.983 [SOFA-SEV-BOLT-BIZ-12200-7-T7] ERROR [0a52563b166944002997114241,0] c.s.f.c.c.b.i.c.i.CustomerInfoFacadeChargeClientImpl - Search account info fail, request: SearchAccountRelationshipsRequest(accountId=13130011000016479039, retrieveCard=null)
2022-11-26 00:20:29.984 [SOFA-SEV-BOLT-BIZ-12200-7-T7] ERROR [0a52563b166944002997114241,0] c.s.f.c.charge.biz.statemachine.aop.StateAspect - state handle exception, context:{"accountId":"13130011000016479039","accountingDate":"20221125","activationDate":1664085600000,"cardId":"131300100001683703","cardRealId":"131300200001683803","chargeDetailType":"MANAGEMENT_FEE","chargeType":"FEE","currencyCode":"COP","currentState":"CHARGE_APPLY_GEN_STATE","customerId":"1313001000008503","direction":"POSITIVE","entityId":"COCC20230000","finish":false,"itemCode":"STCCOL001ITEM01","processTime":0,"productCode":"STCCOL001","referenceId":"20221125-131300200001683803","source":"CREDIT_CARD_CS","subheadCode":"STCCOL001ITEM01SUB01","tenantId":"STCOFINCORE0"}, messagerpc invoke error, exception:com.stori.fundcore.exception.BaseRuntimeException: rpc invoke error
2022-11-26 00:20:30.118 [SOFA-SEV-BOLT-BIZ-12200-7-T66] ERROR [0a52563b166944003010414441,0] c.s.f.c.c.b.i.c.i.CustomerInfoFacadeChargeClientImpl - Search account info fail, request: SearchAccountRelationshipsRequest(accountId=13130011000016397629, retrieveCard=null)
2022-11-26 00:20:30.118 [SOFA-SEV-BOLT-BIZ-12200-7-T66] ERROR [0a52563b166944003010414441,0] c.s.f.c.charge.biz.statemachine.aop.StateAspect - state handle exception, context:{"accountId":"13130011000016397629","accountingDate":"20221125","activationDate":1664085600000,"cardId":"131300100001675562","cardRealId":"131300200001675662","chargeDetailType":"MANAGEMENT_FEE","chargeType":"FEE","currencyCode":"COP","currentState":"CHARGE_APPLY_GEN_STATE","customerId":"1313001000008462","direction":"POSITIVE","entityId":"COCC20230000","finish":false,"itemCode":"STCCOL001ITEM01","processTime":0,"productCode":"STCCOL001","referenceId":"20221125-131300200001675662","source":"CREDIT_CARD_CS","subheadCode":"STCCOL001ITEM01SUB01","tenantId":"STCOFINCORE0"}, messagerpc invoke error, exception:com.stori.fundcore.exception.BaseRuntimeException: rpc invoke error
2022-11-26 00:20:30.128 [SOFA-SEV-BOLT-BIZ-12200-7-T7] ERROR [0a52563b166944003011214461,0] c.s.f.c.c.b.i.c.i.CustomerInfoFacadeChargeClientImpl - Search account info fail, request: SearchAccountRelationshipsRequest(accountId=13130011000016477025, retrieveCard=null)
2022-11-26 00:20:30.129 [SOFA-SEV-BOLT-BIZ-12200-7-T7] ERROR [0a52563b166944003011214461,0] c.s.f.c.charge.biz.statemachine.aop.StateAspect - state handle exception, context:{"accountId":"13130011000016477025","accountingDate":"20221125","activationDate":1664085600000,"cardId":"131300100001683502","cardRealId":"131300200001683602","chargeDetailType":"MANAGEMENT_FEE","chargeType":"FEE","currencyCode":"COP","currentState":"CHARGE_APPLY_GEN_STATE","customerId":"1313001000008502","direction":"POSITIVE","entityId":"COCC20230000","finish":false,"itemCode":"STCCOL001ITEM01","processTime":0,"productCode":"STCCOL001","referenceId":"20221125-131300200001683602","source":"CREDIT_CARD_CS","subheadCode":"STCCOL001ITEM01SUB01","tenantId":"STCOFINCORE0"}, messagerpc invoke error, exception:com.stori.fundcore.exception.BaseRuntimeException: rpc invoke error
2022-11-26 00:20:30.224 [SOFA-SEV-BOLT-BIZ-12200-7-T115] ERROR [0a52563b166944003021114691,0] c.s.f.c.c.b.i.c.i.CustomerInfoFacadeChargeClientImpl - Search account info fail, request: SearchAccountRelationshipsRequest(accountId=13130011000016473008, retrieveCard=null)
